site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_pct,is_anomaly,iso_score,ae_score,prophet_score,severity_score,model_consensus,iso_flagged,ae_flagged,prophet_flagged,severity_label
Site_002,2025-06-01,181.0,1003.0,0.1804586241276171,-81.95413758723828,1.0,0.4227279534388736,0.67076534,0.0,0.40385905049042525,2,1,1,0,MEDIUM
Site_002,2025-07-01,947.0,1086.0,0.8720073664825047,-12.79926335174954,0.0,0.3027342355700442,0.12965173,0.0,0.16647179808028972,2,1,1,0,LOW
Site_002,2025-08-01,935.0,1002.0,0.93313373253493,-6.686626746506986,0.0,0.2635670032630323,0.09735727,0.0,0.13950184540072913,1,0,1,0,NORMAL
Site_002,2025-09-01,709.0,878.0,0.8075170842824602,-19.248291571753988,0.0,0.09298386679068571,0.07459191,0.0,0.06330071640402224,0,0,0,0,NORMAL
Site_002,2025-10-01,526.0,687.0,0.7656477438136827,-23.435225618631733,0.0,0.0979996824481314,0.052342065,0.0,0.057519595244257676,0,0,0,0,NORMAL
Site_002,2025-11-01,326.0,526.0,0.6197718631178707,-38.02281368821293,0.0,0.09011531230317738,0.083051264,0.0,0.06511406779391443,0,0,0,0,NORMAL
Site_002,2025-12-01,273.0,486.0,0.5617283950617284,-43.82716049382716,1.0,0.1416431074253346,0.034014225,0.0,0.06856222116347652,0,0,0,0,NORMAL
Site_002,2026-01-01,250.0,588.0,0.4251700680272108,-57.48299319727891,1.0,0.11532943165932374,0.07364743,0.0,0.07190837312890799,0,0,0,0,NORMAL
Site_003,2022-10-01,574.0,9339.0,0.0614626833708105,-93.85373166291892,1.0,0.4677350032410409,0.7893003,1.0,0.7133491022619163,3,1,1,1,CRITICAL
Site_003,2023-01-01,809.0,7997.0,0.1011629361010379,-89.88370638989622,1.0,0.4320214958933285,0.4444852,0.0,0.32837840505231586,2,1,1,0,MEDIUM
Site_003,2023-04-01,1271.0,12557.0,0.101218443895835,-89.8781556104165,1.0,0.4842372953255415,0.9082216,0.0,0.5115724789841747,2,1,1,0,HIGH
Site_003,2023-05-01,19945.0,13839.0,1.4412168509285352,44.12168509285353,0.0,0.7075365661408527,1.0,0.0,0.6330146204958766,2,1,1,0,HIGH
Site_003,2023-06-01,14871.0,13574.0,1.0955503167820837,9.55503167820834,0.0,0.760418324622036,0.9722533,0.0,0.6444559987197402,2,1,1,0,HIGH
Site_003,2023-07-01,16344.0,14698.0,1.1119880255817118,11.19880255817118,0.0,0.7848105530518509,0.78613925,0.0,0.5890729407699195,2,1,1,0,HIGH
Site_003,2023-08-01,14526.0,13561.0,1.0711599439569353,7.115994395693533,0.0,0.9513096815569556,0.64139044,0.0,0.6050105216591897,2,1,1,0,HIGH
Site_003,2023-09-01,10579.0,11883.0,0.8902634014979383,-10.973659850206175,0.0,0.7854240299209729,0.30393764,0.0,0.42054778728663034,2,1,1,0,MEDIUM
Site_003,2023-10-01,9108.0,9292.0,0.9801980198019802,-1.98019801980198,0.0,0.7357452621821484,0.11810749,0.43773170940075073,0.4450686526899946,2,1,1,0,MEDIUM
Site_003,2023-11-01,6605.0,7111.0,0.9288426381662214,-7.115736183377866,0.0,0.7120364420393519,0.08211716,0.0,0.3135555826238558,1,1,0,0,MEDIUM
Site_003,2023-12-01,4390.0,6582.0,0.6669705256760863,-33.30294743239137,0.0,0.7256626063592246,0.026126727,0.0,0.29940939715532505,1,1,0,0,LOW
Site_003,2024-01-01,3032.0,7957.0,0.3810481337187382,-61.895186628126176,1.0,0.6574967398968786,0.07824748,0.0,0.2903853128742159,1,1,0,0,LOW
Site_003,2024-02-01,8036.0,9193.0,0.8741433699554009,-12.585663004459915,0.0,0.6029709372752121,0.14033964,0.0,0.2903072476420089,2,1,1,0,LOW
Site_003,2024-03-01,10618.0,11784.0,0.9010522742701969,-9.894772572980312,0.0,0.555336080003072,0.33144265,0.0,0.3381393609477239,2,1,1,0,MEDIUM
Site_003,2024-04-01,13484.0,12494.0,1.0792380342564432,7.923803425644309,0.0,0.5899632630998273,0.33005592,0.0,0.35150487356401994,2,1,1,0,MEDIUM
