site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_pct,is_anomaly,iso_score,ae_score,prophet_score,severity_score,model_consensus,iso_flagged,ae_flagged,prophet_flagged,severity_label
Site_010,2016-07-01,2.0,1121.0,0.0017841213202497,-99.82158786797504,1.0,0.45542741465404935,0.86364555,1.0,0.7344468917363298,3,1,1,1,CRITICAL
Site_003,2022-10-01,574.0,9339.0,0.0614626833708105,-93.85373166291892,1.0,0.4677350032410409,0.7893003,1.0,0.7133491022619163,3,1,1,1,CRITICAL
Site_003,2023-06-01,14871.0,13574.0,1.0955503167820837,9.55503167820834,0.0,0.760418324622036,0.9722533,0.0,0.6444559987197402,2,1,1,0,HIGH
Site_003,2023-05-01,19945.0,13839.0,1.4412168509285352,44.12168509285353,0.0,0.7075365661408527,1.0,0.0,0.6330146204958766,2,1,1,0,HIGH
Site_003,2023-08-01,14526.0,13561.0,1.0711599439569353,7.115994395693533,0.0,0.9513096815569556,0.64139044,0.0,0.6050105216591897,2,1,1,0,HIGH
Site_003,2023-07-01,16344.0,14698.0,1.1119880255817118,11.19880255817118,0.0,0.7848105530518509,0.78613925,0.0,0.5890729407699195,2,1,1,0,HIGH
Site_003,2023-04-01,1271.0,12557.0,0.101218443895835,-89.8781556104165,1.0,0.4842372953255415,0.9082216,0.0,0.5115724789841747,2,1,1,0,HIGH
Site_013,2025-05-01,7794.0,9409.0,0.8283558295249229,-17.164417047507705,0.0,0.528686056718729,0.10493207,1.0,0.4982006478550045,3,1,1,1,MEDIUM
Site_016,2025-08-01,1.0,1555.0,0.0006430868167202,-99.93569131832798,1.0,0.46763130820275145,0.8713213,0.0,0.49201497950744943,2,1,1,0,MEDIUM
Site_012,2025-07-01,11.0,1863.0,0.0059044551798174,-99.40955448201824,1.0,0.4461777982013999,0.8462744,0.0,0.4746671329696011,2,1,1,0,MEDIUM
Site_024,2025-06-01,52.0,2425.0,0.0214432989690721,-97.8556701030928,1.0,0.45864548438965214,0.83102,0.0,0.47431518099379116,2,1,1,0,MEDIUM
Site_023,2023-05-01,5342.0,3279.0,1.629155230253126,62.915523025312595,0.0,0.4459709777246821,0.16338769,0.8584226996863756,0.4501797568614862,2,1,1,0,MEDIUM
Site_003,2023-10-01,9108.0,9292.0,0.9801980198019802,-1.98019801980198,0.0,0.7357452621821484,0.11810749,0.43773170940075073,0.4450686526899946,2,1,1,0,MEDIUM
Site_013,2025-02-01,251.0,6282.0,0.0399554282075772,-96.00445717924228,1.0,0.7263753073495458,0.4330274,0.0,0.4421096993319921,2,1,1,0,MEDIUM
Site_003,2023-09-01,10579.0,11883.0,0.8902634014979383,-10.973659850206175,0.0,0.7854240299209729,0.30393764,0.0,0.42054778728663034,2,1,1,0,MEDIUM
Site_003,2024-05-01,15997.0,13770.0,1.1617283950617283,16.17283950617284,0.0,0.894123271501203,0.17699578,0.0,0.4195978315258581,2,1,1,0,MEDIUM
Site_003,2025-08-01,17193.0,13426.0,1.2805750037241177,28.057500372411734,0.0,1.0,0.043678053,0.0,0.4152873182669282,1,1,0,0,MEDIUM
Site_003,2025-02-01,3941.0,9147.0,0.4308516453482016,-56.914835465179834,1.0,0.7364790730842705,0.31870073,0.0,0.4061368865040444,2,1,1,0,MEDIUM
Site_002,2025-06-01,181.0,1003.0,0.1804586241276171,-81.95413758723828,1.0,0.4227279534388736,0.67076534,0.0,0.40385905049042525,2,1,1,0,MEDIUM
Site_003,2024-08-01,15244.0,13493.0,1.1297709923664123,12.97709923664122,0.0,0.9666246019260726,0.040325426,0.0,0.4007637391594705,1,1,0,0,MEDIUM
Site_003,2025-06-01,16119.0,13439.0,1.1994195996725947,19.941959967259468,0.0,0.9227548560979115,0.090116665,0.0,0.40064277585276553,1,1,0,0,MEDIUM
Site_003,2024-06-01,17802.0,13507.0,1.3179832679351446,31.798326793514477,0.0,0.9696452797900692,0.019509697,0.0,0.3946865057031733,1,1,0,0,MEDIUM
Site_003,2025-09-01,12499.0,11764.0,1.0624787487249234,6.24787487249235,0.0,0.9136865399213336,0.06955421,0.0,0.38981858899421307,1,1,0,0,MEDIUM
Site_003,2025-07-01,17289.0,14551.0,1.1881657618033126,18.81657618033125,0.0,0.9423637640533311,0.033706125,0.0,0.3887426487677281,1,1,0,0,MEDIUM
Site_013,2021-06-01,11686.0,9416.0,1.2410790144435004,24.10790144435004,0.0,0.6676926225316372,0.3333343,0.0,0.3837440514521538,2,1,1,0,MEDIUM
Site_003,2024-07-01,16160.0,14624.0,1.1050328227571116,10.50328227571116,0.0,0.9232949339225949,0.0369194,0.0,0.3822397632300878,1,1,0,0,MEDIUM
Site_013,2021-07-01,8819.0,10196.0,0.8649470380541389,-13.50529619458611,0.0,0.6122170583156334,0.28769645,0.0994440314180589,0.3704415860325862,3,1,1,1,MEDIUM
Site_003,2024-09-01,12122.0,11823.0,1.025289689588091,2.528968958809101,0.0,0.9010608265960501,0.02479865,0.0,0.3691038584277744,1,1,0,0,MEDIUM
Site_023,2017-07-01,597.0,3589.0,0.16634159933129,-83.365840066871,1.0,0.3684900756325814,0.6193193,0.0,0.3641577832160987,2,1,1,0,MEDIUM
Site_025,2024-10-01,96.0,1526.0,0.0629095674967234,-93.70904325032764,1.0,0.2904177436231459,0.50730956,0.259847495653828,0.3586873189455324,2,1,1,0,MEDIUM
Site_035,2025-09-01,5.0,2899.0,0.0017247326664367,-99.82752673335634,1.0,0.34084373153878034,0.628686,0.0,0.3563775904481919,2,1,1,0,MEDIUM
Site_003,2024-04-01,13484.0,12494.0,1.0792380342564432,7.923803425644309,0.0,0.5899632630998273,0.33005592,0.0,0.35150487356401994,2,1,1,0,MEDIUM
Site_003,2025-11-01,5731.0,7040.0,0.8140625,-18.59375,0.0,0.8152418798878449,0.06514404,0.0,0.3488971658468111,1,1,0,0,MEDIUM
Site_003,2025-10-01,8761.0,9199.0,0.9523861289270572,-4.761387107294271,0.0,0.8216146011616056,0.032594852,0.0,0.340054038158169,1,1,0,0,MEDIUM
Site_003,2024-03-01,10618.0,11784.0,0.9010522742701969,-9.894772572980312,0.0,0.555336080003072,0.33144265,0.0,0.3381393609477239,2,1,1,0,MEDIUM
Site_003,2025-05-01,13890.0,13701.0,1.013794613531859,1.3794613531858988,0.0,0.7468566073435658,0.09185708,0.028940189290204938,0.33812766824202184,2,1,0,1,MEDIUM
Site_003,2024-12-01,3723.0,6548.0,0.5685705558949298,-43.14294441050702,1.0,0.7837538280736697,0.05414767,0.0,0.3324532154659944,1,1,0,0,MEDIUM
Site_013,2021-03-01,9949.0,8215.0,1.2110772976262931,21.107729762629337,0.0,0.36267105799434907,0.26405782,0.36487506040804535,0.3287074235759732,2,1,1,0,MEDIUM
Site_003,2023-01-01,809.0,7997.0,0.1011629361010379,-89.88370638989622,1.0,0.4320214958933285,0.4444852,0.0,0.32837840505231586,2,1,1,0,MEDIUM
Site_024,2025-05-01,79.0,2472.0,0.031957928802589,-96.80420711974112,1.0,0.27882282052992546,0.6091064,0.0,0.32471637572669493,2,1,1,0,MEDIUM
Site_003,2026-01-01,2951.0,7877.0,0.374635013329948,-62.536498667005205,1.0,0.6880019113394906,0.121916145,0.0,0.31787141308082306,2,1,1,0,MEDIUM
Site_021,2025-07-01,631.0,2339.0,0.2697734074390765,-73.02265925609235,1.0,0.3207146965071519,0.5411735,0.0,0.3176966097992643,2,1,1,0,MEDIUM
